candidate,generic,brand,rag response
"['cepacol', 'auralgan', 'cetacaine', 'chloraseptic', 'orabase', 'anbesol', 'anacaine', 'aurodex', 'auroto', 'bicozene', 'dermoplast', 'dolotic', 'foille', 'isodettes', 'navogan', 'oticaine', 'otigesic', 'otocain', 'spec-t', 'tympagesic', 'zilactin-b', 'hurricaine', 'americaine', 'rx-otic', 'tebamide', 'ti-plex', 'triban', 'retre-gel', 'omedia', 'boil-ease', 'ear-gesic', 'trimazide', 'gingicaine', 'algiotic', 'otoalgan', 'antiben', 'balagan', 'freez-eez', 'topicale', 'exactacain', 'auroguard', 'medicone', 'benz-o-sthetic', 'benzo-o-sthetic', 'benzoquick', 'orajel', 'trocaine', 'neotic', 'conffits', 'trioxin', 'z-xtra', 'treagan', 'dent-o-kain', 'superdent', 'benzo-jel', 'beegentle', 'lanacane', 'ultracare', 'bucalcide', 'dentapaine', 'dermagesic', 'orasep', 'sepasoothe', 'otozin', 'benzodent', 'myoxin', 'clinistat', 'alpha-caine', 'bucalsep', 'stingeze', 'viroxyn', 'orastat', 'neutracaine', 'bencocaine', 'salinocaine', 'anesgerm', 'angidol', 'tokisan', 'sting-kill', 'salivacaine', 'sensicaine', 'lollicaine', 'chiggerex', 'vistacaine', 'stingx', 'numstat']",benzocaine,cepacol,"Here is a list of brand-name drugs that contain benzocaine as the primary active ingredient and are intended for human use, excluding combination drugs:
 
 [ 'Cepacol',
  'Auralgan',
  'Cetacaine',
  'Chloraseptic',
  'Orabase',
  'Anbesol',
  'Anacaine',
  'Aurodex',
  'Auroto',
  'Bicozene',
  'Dermoplast',
  'Dolotic',
  'Foille',
  'Isodettes',
  'Navogan',
  'Oticaine',
  'Otigesic',
  'Otocain',
  'Spec-T',
  'Tympagesic',
  'Zilactin-B',
  'Hurricaine',
  'Americaine',
  'Rx-Otic',
  'Tebamide',
  'Ti-Plex',
  'Triban',
  'Retre-Gel',
  'Omedia',
  'Boil-Ease',
  'Ear-Gesic',
  'Trimazide',
  'Gingicaine',
  'Algiotic',
  'Otoalgan',
  'Antiben',
  'Balagan',
  'Freez-Eez',
  'Topicale',
  'Exactacain',
  'Auroguard',
  'Medicone',
  'Benz-O-Sthetic',
  'Benzo-O-Sthetic',
  'Benzoquick',
  'Orajel',
  'Trocaine',
  'Neotic',
  'Conffits',
  'Trioxin',
  'Z-Xtra',
  'Treagan',
  'Dent-O-Kain',
  'Superdent',
  'Benzo-Jel',
  'Beegentle',
  'Lanacane',
  'Ultracare',
  'Bucalcide',
  'Dentapaine',
  'Dermagesic',
  'Orasep',
  'Sepasoothe',
  'Otizin',
  'Benzodent',
  'Myoxin',
  'Clinistat',
  'Alpha-Caine',
  'Bucalsep',
  'Stingeze',
  'Viroxyn',
  'Orastat',
  'Neutracaine',
  'Bencocaine',
  'Salinocaine',
  'Anesgerm',
  'Angidol',
  'Tokisan',
  'Sting-Kill',
  'Salivacaine',
  'Sensicaine',
  'Lollicaine',
  'Chiggerex',
  'Vistacaine',
  'Sting-X',
  'Numstat' ]
 
 These brands are commonly used for local anesthesia, pain relief, and soothing a variety of ailments such as sore throat, toothaches, minor injuries, and irritations. Please note that this list is not exhaustive, and it is always advisable to consult a healthcare professional before using any medication."
['cogentin'],benztropine,cogentin,"Here is a Python list containing the best brand drugs that contain the generic Benztropine and are not combination drugs:
 
 [['Cogentin']]
 
 Please note that this list may not be exhaustive and drug availability may vary depending on the region. It is always advisable to consult a healthcare professional or refer to official drug resources for the most up-to-date and accurate information."
['duvoid'],bethanechol,duvoid,['Duvoid']
"['lumigan', 'latisse', 'durysta']",bimatoprost,lumigan,"Here is a Python list of brand-name drugs that contain the generic ingredient 'bimatoprost' and are not combination drugs:
 
 python_list = ['Lumigan', 'Latisse', 'Durysta']"
"['appearex', 'nail-ex', 'hemax', 'nephrocaps', 'infuvite', 'lexinal']",biotin,Appearex,"Here is a Python list of brands that primarily contain the generic drug 'Biotin' and are not combination drugs:
 
 ```python
 biotin_brands = ['Appearex', 'Nail-Ex', 'Hemax', 'Infuvite', 'Lexinal']
 ```
 
 These brands contain Biotin as the primary ingredient and are typically used as dietary supplements for hair, skin, and nail health. They are not combination drugs, meaning they do not contain multiple active ingredients."
"['dulcolax', 'bisa-plex', 'bisac-evac', 'bisco-lax', 'bisolax', 'dulcogen', 'veracolate', 'alophen', 'evac-u-gen', 'feen-a-mint', 'correctol', 'bet-r-prep']",bisacodyl,dulcolax,"Here is a list of brand-name drugs that contain the generic drug Bisacodyl and are not combination drugs:
 
 [ 'Dulcolax', 'Bisa-Plex', 'Bisac-Evac', 'Bisco-Lax', 'Bisolax', 'Dulcogen', 'Veracolate', 'Alophen', 'Evac-U-Gen', 'Correctol', 'Bet-r-Prep']
 
 These brands are all meant for human use and do not contain any other active ingredients combined with Bisacodyl."
"['ziac', 'emcor', 'monocor', 'zebeta']",bisoprolol,Zebeta,"Here is a Python list of brand-name drugs that contain bisoprolol as the primary ingredient and are not combination drugs:
 
 python_list = ['Zebeta', 'Monocor', 'Emcor']
 
 These drugs are all beta-blockers used for treating high blood pressure and are intended for human use."
['tracleer'],bosentan,Tracleer,['Tracleer']
['fybranta'],bran,Fybranta,"Sure! Here is a Python list of brand name drugs that contain the generic ingredient ""bran"" and are not combination drugs:
 
 ```python
 [['Fybranta']]
 ```
 
 Is there anything else I can help you with?"
"['alphagan', 'combigan', 'simbrinza', 'mirvaso', 'lumify']",brimonidine,Alphagan,"Here is a Python list of brand-name drugs that contain brimonidine and are not combination drugs:
 
 ```python
 brands = ['Alphagan', 'Mirvaso', 'Lumify']
 ```
 
 These drugs are all used for human eyes and skin-related conditions and primarily contain brimonidine as their active ingredient."
"['parlodel', 'cycloset']",bromocriptine,Parlodel,['Parlodel']
"['sensorcaine', 'duocaine', 'vivacaine', 'marcaine', 'exparel', 'nocita', 'xaracoll', 'zynrelef', 'posimir']",bupivacaine,Exparel,"Here is a list of brand-name drugs that primarily contain the generic drug Bupivacaine and are not combination drugs:
 
  [ 'Marcaine', 'Exparel', 'Sensorcaine', 'Posimir' ]
 
 These drugs are typically used in local anesthesia and pain management, and they are designed for human use."
"['wellbutrin', 'zyban', 'budeprion', 'buproban', 'aplenzin', 'forfivo', 'contrave', 'auvelity']",bupropion,Wellbutrin,"Here is a list of brand-name drugs that primarily contain the generic ingredient 'bupropion' and are not combination drugs:
 
  [ 'Wellbutrin', 'Zyban', 'Aplenzin', 'Forfivo', 'Auvelity']
 
 These drugs are typically used to treat conditions such as depression, seasonal affective disorder, and to aid in smoking cessation. They are all approved for human use and do not contain any additional active ingredients that would classify them as combination drugs."
"['stadol', 'butorphic', 'torbugesic', 'torphaject', 'torphadine']",butorphanol,Stadol,"['Stadol', 'Butorphic']"
['dostinex'],cabergoline,Dostinex,['Dostinex']
"['cala-gen', 'caladryl', 'calagesic', 'callergy', 'calohist', 'ivarest', 'dermaseptin', 'dermasav', 'calmafx']",calamine,Caladryl,"Here is a list of brand-name drugs that contain the generic Calamine and are not combination drugs:
 
 [ 'Cala-Gen', 'Caladryl', 'Calagesic', 'Callergy' ]
 
 These brands are primarily calamine-based and are intended for human use."
"['calcijex', 'rocaltrol', 'vectical']",calcitriol,Calcijex,"['Calcijex', 'Rocaltrol', 'Vectical']"
['xeloda'],capecitabine,Xeloda,['Xeloda']
"['capozide', 'acepril', 'capoten', 'ecopace', 'kaplon', 'hypapril', 'tensopril', 'hyteneze', 'capropril']",captopril,Capoten,"['Capoten', 'Kaplon']"
"['epimaz', 'tegretol', 'epitol', 'carbatrol', 'equetro', 'carnexiv']",carbamazepine,Tegretol,"Here is a Python list of brand-name drugs that contain the generic drug carbamazepine and are not combination drugs:
 
 python
 
 [ 'Tegretol', 'Epitol', 'Carbatrol', 'Equetro', 'Carnexiv' ]
 
 These brands are all approved for human use and primarily contain carbamazepine as the active ingredient. They are commonly used to treat conditions such as epilepsy, trigeminal neuralgia, and certain mood disorders."
"['sinemet', 'lodosyn', 'atamet', 'carbodopa', 'parcopa', 'stalevo', 'rytary', 'duopa', 'dhivy']",carbidopa,Lodosyn,"Here is a list of brand drugs that contain 'carbidopa' as the primary ingredient and are not combination drugs:
 
 ['Sinemet', 'Lodosyn', 'Atamet', 'Parcopa', 'Rytary']
 
 These drugs are commonly used to treat Parkinson's disease and are typically well-tolerated. However, it is always advisable to consult a healthcare professional before taking any medication."
['paraplatin'],carboplatin,Paraplatin,['Paraplatin']
['hemabate'],carboprost,Hemabate,['Hemabate']
"['cartrol', 'ocupress', 'teoptic']",carteolol,Cartrol,"['Cartrol', 'Ocupress', 'Teoptic']"
"['eucardic', 'coreg']",carvedilol,Coreg,['Coreg']
"['keftid', 'ceclor', 'raniclor']",cefaclor,Ceclor,"['Keftid', 'Ceclor', 'Raniclor']"
['cefobid'],cefoperazone,Cefobid,['Cefobid']
['claforan'],cefotaxime,Claforan,['Claforan']
['cefotan'],cefotetan,Cefotan,"Here is a Python list of brand-name drugs that contain the generic drug Cefotetan and are not combination drugs:
 
 ```python
 brand_drugs = [""Cefotan""]
 ```
 
 Cefotetan, sold under the brand name Cefotan, is a third-generation cephalosporin antibiotic used to treat various bacterial infections. It is administered intramuscularly or intravenously and is primarily used in hospitals for surgical prophylaxis and treating serious gram-negative bacterial infections."
"['vantin', 'orelox', 'simplicef', 'cefpoderm']",cefpodoxime,Vantin,"['Vantin', 'Orelox', 'Simplicef']"
"['tazidime', 'fortaz', 'tazicef', 'ceptaz', 'avycaz']",ceftazidime,Fortaz,"['Fortaz', 'Tazicef']"
"['cefizox', 'zincaf']",ceftizoxime,Cefizox,['Cefizox']
['rocephin'],ceftriaxone,Rocephin,['Rocephin']
"['celebrex', 'consensi', 'elyxyb', 'seglentis']",celecoxib,Celebrex,"['Celebrex', 'Elyxyb']"
['celectol'],celiprolol,Celectol,['Celectol']
"['tenkorex', 'keflex', 'biocef', 'keftab', 'zartan', 'kiflone', 'keflex-c', 'rilexine', 'daxbia']",cephalexin,Keflex,"Here is a list of brand-name drugs that contain the generic ""Cephalexin"" and are not combination drugs:
 
 [ 'Keflex', 'Biocef', 'Keftab', 'Daxbia']
 
 These brands are commonly used and well-known for their effectiveness in treating bacterial infections in humans."
['keflin'],cephalothin,Keflin,['Keflin']
['erbitux'],cetuximab,Erbitux,['Erbitux']
['evoxac'],cevimeline,Evoxac,['Evoxac']
['leukeran'],chlorambucil,Leukeran,['Leukeran']
"['ophthocort', 'chloromycetin', 'kemicetine', 'ak-chlor', 'chloracol', 'chloroptic', 'ocu-chlor', 'econochlor', 'viceton']",chloramphenicol,Chloromycetin,"Here is a Python list of the best brand drugs that contain the generic drug 'Chloramphenicol' and are not combination drugs:
 
 ```python
 chloramphenicol_brands = ['Chloromycetin', 'Ophthocort']
 ```
 
 These two brands, 'Chloromycetin' and 'Ophthocort', are commonly used and well-known for containing Chloramphenicol as the main active ingredient. They are not combination drugs, meaning they do not contain multiple active ingredients, and they are intended for human use."
"['librium', 'librax', 'limbitrol', 'tropium', 'mitran', 'chlordinium', 'clindex', 'libritabs', 'poxi', 'h-tran']",chlordiazepoxide,Librium,"Here is a list of brand-name drugs that contain chlordiazepoxide and are not combination drugs:
 
 [ 'Librium', 'Tropium', 'Mitran', 'Chlordinium', 'Clindex', 'Libritabs', 'Poxi', 'H-Tran']
 
 It's important to note that the selection of a medication brand should be made in consultation with a medical professional, as they can provide personalized advice based on a patient's specific needs and health conditions."
"['hibitane', 'rotersept', 'instillagel', 'hibisol', 'corsodyl', 'betasept', 'chlorostat', 'dyna-hex', 'hibistat', 'periochip', 'periogard', 'hibiclens', 'tisept', 'sterexidine', 'perisol', 'chlorhexigard', 'denticare', 'periosep', 'oris', 'denti-rinse', 'chloraprep', 'septi-soothe', 'avagard', 'malaseb', 'chlorascrub', 'supreme', 'bactoshield', 'prevantics', 'vital-chlor', 'hex-o-prep', 'vital-ketodine', 'hexidip', 'paroex', 'mal-a-ket', 'ketochlor', 'hexi-dip', 'kenocidin', 'hexadine', 'vetasan', 'scrub-stat', 'exidine', 'keto-c', 'vetraseb', 'otodine', 'nolvadent', 'nolvasan', 'soluprep', 'maxiclens']",chlorhexidine,Chloraprep,"Here is a list of brand-name drugs that contain chlorhexidine as the main active ingredient and are intended for human use, sorted alphabetically: 
 
 ['Avagard', 'Chloraprep', 'Chlorhexigard', 'Chlorostat', 'Corsodyl', 'Denti-Rinse', 'Denticare', 'Dyna-Hex', 'Exidine', 'Hibiclens', 'Hibistat', 'Hibitane', 'Hibisol', 'Hexadine', 'Hexi-Dip', 'Instillagel', 'Ketochlor', 'Mal-A-Ket', 'Malaseb', 'Maxiclens', 'Nolvadent', 'Nolvasan', 'Oris', 'Paroex', 'Periochip', 'Periogard', 'Periosep', 'Perisol', 'Prevantics', 'Rotersept', 'Scrub-Stat', 'Septi-Soothe', 'Soluprep', 'Sterexidine', 'Supremep']
 
 This list only includes brands that are not combination drugs and are primarily focused on chlorhexidine as the active ingredient. These brands are commonly used for various applications, including oral care, skin disinfection, and surgical site preparation."
"['nesacaine', 'clorotekal', 'iheezo']",chloroprocaine,Nesacaine,"['Nesacaine', 'Clorotekal']"
['malarivon'],chloroquine,Resochin,['Malarivon']
"['diuril', 'diupres', 'aldoclor']",chlorothiazide,Diuril,['Diuril']
"['chlor-trimeton', 'aller-chlor', 'allerlief', 'amtussin', 'chlo-amine', 'chlor-phen', 'colrex', 'demi-cof', 'ditussin-hc', 'ed-tlc', 'efasin-hd', 'endagen-hd', 'endal-hd', 'enditussin-hd', 'endotuss-hd', 'enplus-hd', 'exo-tuss', 'hexatussin', 'histussin-hc', 'hyphed', 'hyphen-hd', 'kg-tussin', 'm-end', 'med-hist-hc', 'nasatuss', 'notuss', 'pediacof', 'pedituss', 'poly-tussin', 'rindal-hd', 'rolatuss', 'tuss-ds', 'tuss-hc', 'tussend', 'tussin-v', 'vanex-hd', 'ventuss', 'b-tuss', 'trionate', 'coldcough', 'pancof', 'pancof-pd', 'relacon-hc', 'triant-hc', 'uni-cof', 'hist-hc', 'hist-plus', 'aerohist', 'tussionex', 'ricotuss', 'cordron-hc', 'ryneze', 'tusana-d', 'codeprex', 'hytan', 'tustan', 'pediatan', 'relasin-hc', 'baltussin', 'drotuss-cp', 'didone', 'novasus', 'p-tann', 'wal-finate', 'pediox-s', 'chlortan', 'dexodryl', 'phena-hc', 'tussicaps', 'tanahist-pd', 'zhist', 'duohist', 'notuss-ac', 'cotabflu', 'jaycof-hc', 'vanex', 'ztuss', 'phendal-hd', 'tuss-pd', 'echotuss-hc', 'hydrocof-hc', 'entre-s', 'ryna-c', 'despec-pdc', 'zutripro', 'chlorate', 'vituz', 'tuzistra', 'tuxarin', 'clorrelief']",chlorpheniramine,Allerlief,"['Chlor-Trimeton', 'Aller-Chlor', 'Allerlief', 'Chlo-Amine', 'Colrex', 'Endagen-HD', 'Enplus-HD', 'Hexatussin', 'Hyphed', 'M-End', 'Nasatuss', 'Notuss', 'Pediacof', 'Pedituss', 'Rindal-HD', 'Tuss-DS', 'Tussin-V', 'Vanex-HD', 'Ventuss', 'Trionate', 'Pancof', 'Pancof-PD', 'Uni-Cof', 'Hist-Plus', 'Tussionex', 'Ricotuss', 'Ryneze', 'Hytan', 'Pediatan', 'Baltussin', 'Novasus', 'Wal-finate', 'Chlortan', 'Phena-HC', 'Tanahist-PD', 'Zhist', 'Notuss-AC', 'Vanex', 'Tuss-PD', 'Hydrocof-HC', 'Ryna-C', 'Chlorate', 'Vituz', 'Tuzistra', 'Tuxarin', 'Clorrelief']"
"['largactil', 'thorazine', 'dozine']",chlorpromazine,Largactil,"['Chlorpromazine', 'Largactil', 'Thorazine']"
"['diabinese', 'insulase']",chlorpropamide,Diabinese,['Diabinese']
"['combipres', 'tenoretic', 'atenixco', 'hygroton', 'tenchlor', 'totaretic', 'regroton', 'thalitone', 'clorpres', 'demi-regroton', 'tenoret', 'edarbyclor']",chlorthalidone,Hygroton,"Here is a Python list of brand drugs that are not combination drugs and mainly contain the generic component 'chlorthalidone':
  
 ```python
 chlorthalidone_brands = ['Hygroton', 'Thalitone', 'Edarbyclor']
 ```
 
 These drugs are all approved for human use and primarily contain chlorthalidone as their active ingredient, without being combination medications."
"['alvesco', 'omnaris', 'zetonna', 'aservo']",ciclesonide,Alvesco,"['Alvesco', 'Omnaris', 'Zetonna']"
['pletal'],cilostazol,Pletal,['Pletal']
