Dataset,Metric,Value,Model
medmcqa_b2g,acc_norm_stderr,0.01979150564482921,microsoft-phi-1
medmcqa_g2b,acc,0.27380952380952384,microsoft-phi-1
medmcqa_g2b,acc_stderr,0.019882251217620307,microsoft-phi-1
medmcqa_g2b,acc_norm,0.27380952380952384,microsoft-phi-1
medmcqa_g2b,acc_norm_stderr,0.019882251217620307,microsoft-phi-1
medmcqa_orig_filtered,acc,0.26587301587301587,microsoft-phi-1
medmcqa_orig_filtered,acc_stderr,0.01969875288983336,microsoft-phi-1
medmcqa_orig_filtered,acc_norm,0.26587301587301587,microsoft-phi-1
medmcqa_orig_filtered,acc_norm_stderr,0.01969875288983336,microsoft-phi-1
medqa_4options_b2g,acc,0.234251968503937,microsoft-phi-1
medqa_4options_b2g,acc_stderr,0.01880964458201463,microsoft-phi-1
medqa_4options_b2g,acc_norm,0.234251968503937,microsoft-phi-1
medqa_4options_b2g,acc_norm_stderr,0.01880964458201463,microsoft-phi-1
medqa_4options_g2b,acc,0.25,microsoft-phi-1
medqa_4options_g2b,acc_stderr,0.019230769230769232,microsoft-phi-1
medqa_4options_g2b,acc_norm,0.25,microsoft-phi-1
medqa_4options_g2b,acc_norm_stderr,0.019230769230769232,microsoft-phi-1
medqa_4options_orig_filtered,acc,0.234251968503937,microsoft-phi-1
medqa_4options_orig_filtered,acc_stderr,0.01880964458201463,microsoft-phi-1
medqa_4options_orig_filtered,acc_norm,0.234251968503937,microsoft-phi-1
medqa_4options_orig_filtered,acc_norm_stderr,0.01880964458201463,microsoft-phi-1
mmlu_professional_medicine_b2g,acc,0.21428571428571427,microsoft-phi-1
mmlu_professional_medicine_b2g,acc_stderr,0.055328333517248834,microsoft-phi-1
mmlu_professional_medicine_g2b,acc,0.26785714285714285,microsoft-phi-1
mmlu_professional_medicine_g2b,acc_stderr,0.05971290310957636,microsoft-phi-1
mmlu_professional_medicine_orig_filtered,acc,0.21428571428571427,microsoft-phi-1
mmlu_professional_medicine_orig_filtered,acc_stderr,0.055328333517248834,microsoft-phi-1
b4b,acc,0.3026421136909528,microsoft-phi-1_5
b4b,acc_stderr,0.030300036099661202,microsoft-phi-1_5
b4b,acc_norm,0.30530240265120134,microsoft-phi-1_5
b4b,acc_norm_stderr,0.0006331406571747696,microsoft-phi-1_5
b4bqa,acc,0.28013392857142855,microsoft-phi-1_5
b4bqa,acc_stderr,0.010611112414051155,microsoft-phi-1_5
b4bqa,acc_norm,0.28013392857142855,microsoft-phi-1_5
b4bqa,acc_norm_stderr,0.010611112414051155,microsoft-phi-1_5
medmcqa_b2g,acc,0.3134920634920635,microsoft-phi-1_5
medmcqa_b2g,acc_stderr,0.02068483514099741,microsoft-phi-1_5
medmcqa_b2g,acc_norm,0.3134920634920635,microsoft-phi-1_5
medmcqa_b2g,acc_norm_stderr,0.02068483514099741,microsoft-phi-1_5
medmcqa_g2b,acc,0.3055555555555556,microsoft-phi-1_5
medmcqa_g2b,acc_stderr,0.02053902642315147,microsoft-phi-1_5
medmcqa_g2b,acc_norm,0.3055555555555556,microsoft-phi-1_5
medmcqa_g2b,acc_norm_stderr,0.02053902642315147,microsoft-phi-1_5
medmcqa_orig_filtered,acc,0.31547619047619047,microsoft-phi-1_5
medmcqa_orig_filtered,acc_stderr,0.020720182711742436,microsoft-phi-1_5
medmcqa_orig_filtered,acc_norm,0.31547619047619047,microsoft-phi-1_5
medmcqa_orig_filtered,acc_norm_stderr,0.020720182711742436,microsoft-phi-1_5
medqa_4options_b2g,acc,0.3248031496062992,microsoft-phi-1_5
medqa_4options_b2g,acc_stderr,0.02079798880866757,microsoft-phi-1_5
medqa_4options_b2g,acc_norm,0.3248031496062992,microsoft-phi-1_5
medqa_4options_b2g,acc_norm_stderr,0.02079798880866757,microsoft-phi-1_5
medqa_4options_g2b,acc,0.33858267716535434,microsoft-phi-1_5
medqa_4options_g2b,acc_stderr,0.02101677961586622,microsoft-phi-1_5
medqa_4options_g2b,acc_norm,0.33858267716535434,microsoft-phi-1_5
medqa_4options_g2b,acc_norm_stderr,0.02101677961586622,microsoft-phi-1_5
medqa_4options_orig_filtered,acc,0.3228346456692913,microsoft-phi-1_5
medqa_4options_orig_filtered,acc_stderr,0.020765072576379665,microsoft-phi-1_5
medqa_4options_orig_filtered,acc_norm,0.3228346456692913,microsoft-phi-1_5
medqa_4options_orig_filtered,acc_norm_stderr,0.020765072576379665,microsoft-phi-1_5
mmlu_professional_medicine_b2g,acc,0.23214285714285715,microsoft-phi-1_5
mmlu_professional_medicine_b2g,acc_stderr,0.056929390240001085,microsoft-phi-1_5
mmlu_professional_medicine_g2b,acc,0.21428571428571427,microsoft-phi-1_5
mmlu_professional_medicine_g2b,acc_stderr,0.05532833351724883,microsoft-phi-1_5
mmlu_professional_medicine_orig_filtered,acc,0.23214285714285715,microsoft-phi-1_5
mmlu_professional_medicine_orig_filtered,acc_stderr,0.056929390240001085,microsoft-phi-1_5
b4b,acc,0.3026421136909528,microsoft-phi-1_5
b4b,acc_stderr,0.030300036099661202,microsoft-phi-1_5
b4b,acc_norm,0.30530240265120134,microsoft-phi-1_5
b4b,acc_norm_stderr,0.0006331406571747696,microsoft-phi-1_5
b4bqa,acc,0.28013392857142855,microsoft-phi-1_5
b4bqa,acc_stderr,0.010611112414051155,microsoft-phi-1_5
b4bqa,acc_norm,0.28013392857142855,microsoft-phi-1_5
b4bqa,acc_norm_stderr,0.010611112414051155,microsoft-phi-1_5
medmcqa_b2g,acc,0.3134920634920635,microsoft-phi-1_5
medmcqa_b2g,acc_stderr,0.02068483514099741,microsoft-phi-1_5
medmcqa_b2g,acc_norm,0.3134920634920635,microsoft-phi-1_5
medmcqa_b2g,acc_norm_stderr,0.02068483514099741,microsoft-phi-1_5
medmcqa_g2b,acc,0.3055555555555556,microsoft-phi-1_5
medmcqa_g2b,acc_stderr,0.02053902642315147,microsoft-phi-1_5
medmcqa_g2b,acc_norm,0.3055555555555556,microsoft-phi-1_5
medmcqa_g2b,acc_norm_stderr,0.02053902642315147,microsoft-phi-1_5
medmcqa_orig_filtered,acc,0.31547619047619047,microsoft-phi-1_5
medmcqa_orig_filtered,acc_stderr,0.020720182711742436,microsoft-phi-1_5
medmcqa_orig_filtered,acc_norm,0.31547619047619047,microsoft-phi-1_5
medmcqa_orig_filtered,acc_norm_stderr,0.020720182711742436,microsoft-phi-1_5
medqa_4options_b2g,acc,0.3248031496062992,microsoft-phi-1_5
medqa_4options_b2g,acc_stderr,0.02079798880866757,microsoft-phi-1_5
medqa_4options_b2g,acc_norm,0.3248031496062992,microsoft-phi-1_5
medqa_4options_b2g,acc_norm_stderr,0.02079798880866757,microsoft-phi-1_5
medqa_4options_g2b,acc,0.33858267716535434,microsoft-phi-1_5
medqa_4options_g2b,acc_stderr,0.02101677961586622,microsoft-phi-1_5
medqa_4options_g2b,acc_norm,0.33858267716535434,microsoft-phi-1_5
medqa_4options_g2b,acc_norm_stderr,0.02101677961586622,microsoft-phi-1_5
medqa_4options_orig_filtered,acc,0.3228346456692913,microsoft-phi-1_5
medqa_4options_orig_filtered,acc_stderr,0.020765072576379665,microsoft-phi-1_5
medqa_4options_orig_filtered,acc_norm,0.3228346456692913,microsoft-phi-1_5
medqa_4options_orig_filtered,acc_norm_stderr,0.020765072576379665,microsoft-phi-1_5
mmlu_professional_medicine_b2g,acc,0.23214285714285715,microsoft-phi-1_5
mmlu_professional_medicine_b2g,acc_stderr,0.056929390240001085,microsoft-phi-1_5
mmlu_professional_medicine_g2b,acc,0.21428571428571427,microsoft-phi-1_5
mmlu_professional_medicine_g2b,acc_stderr,0.05532833351724883,microsoft-phi-1_5
mmlu_professional_medicine_orig_filtered,acc,0.23214285714285715,microsoft-phi-1_5
mmlu_professional_medicine_orig_filtered,acc_stderr,0.056929390240001085,microsoft-phi-1_5
b4b,acc,0.3026421136909528,microsoft-phi-1_5
b4b,acc_stderr,0.030300036099661202,microsoft-phi-1_5
b4b,acc_norm,0.30530240265120134,microsoft-phi-1_5
b4b,acc_norm_stderr,0.0006331406571747696,microsoft-phi-1_5
b4bqa,acc,0.28013392857142855,microsoft-phi-1_5
b4bqa,acc_stderr,0.010611112414051155,microsoft-phi-1_5
b4bqa,acc_norm,0.28013392857142855,microsoft-phi-1_5
b4bqa,acc_norm_stderr,0.010611112414051155,microsoft-phi-1_5
medmcqa_b2g,acc,0.3134920634920635,microsoft-phi-1_5
medmcqa_b2g,acc_stderr,0.02068483514099741,microsoft-phi-1_5
medmcqa_b2g,acc_norm,0.3134920634920635,microsoft-phi-1_5
medmcqa_b2g,acc_norm_stderr,0.02068483514099741,microsoft-phi-1_5
medmcqa_g2b,acc,0.3055555555555556,microsoft-phi-1_5
medmcqa_g2b,acc_stderr,0.02053902642315147,microsoft-phi-1_5
medmcqa_g2b,acc_norm,0.3055555555555556,microsoft-phi-1_5
medmcqa_g2b,acc_norm_stderr,0.02053902642315147,microsoft-phi-1_5
medmcqa_orig_filtered,acc,0.31547619047619047,microsoft-phi-1_5
medmcqa_orig_filtered,acc_stderr,0.020720182711742436,microsoft-phi-1_5
medmcqa_orig_filtered,acc_norm,0.31547619047619047,microsoft-phi-1_5
medmcqa_orig_filtered,acc_norm_stderr,0.020720182711742436,microsoft-phi-1_5
medqa_4options_b2g,acc,0.3248031496062992,microsoft-phi-1_5
medqa_4options_b2g,acc_stderr,0.02079798880866757,microsoft-phi-1_5
medqa_4options_b2g,acc_norm,0.3248031496062992,microsoft-phi-1_5
medqa_4options_b2g,acc_norm_stderr,0.02079798880866757,microsoft-phi-1_5
medqa_4options_g2b,acc,0.33858267716535434,microsoft-phi-1_5
medqa_4options_g2b,acc_stderr,0.02101677961586622,microsoft-phi-1_5
medqa_4options_g2b,acc_norm,0.33858267716535434,microsoft-phi-1_5
medqa_4options_g2b,acc_norm_stderr,0.02101677961586622,microsoft-phi-1_5
medqa_4options_orig_filtered,acc,0.3228346456692913,microsoft-phi-1_5
medqa_4options_orig_filtered,acc_stderr,0.020765072576379665,microsoft-phi-1_5
medqa_4options_orig_filtered,acc_norm,0.3228346456692913,microsoft-phi-1_5
medqa_4options_orig_filtered,acc_norm_stderr,0.020765072576379665,microsoft-phi-1_5
mmlu_professional_medicine_b2g,acc,0.23214285714285715,microsoft-phi-1_5
mmlu_professional_medicine_b2g,acc_stderr,0.056929390240001085,microsoft-phi-1_5
mmlu_professional_medicine_g2b,acc,0.21428571428571427,microsoft-phi-1_5
mmlu_professional_medicine_g2b,acc_stderr,0.05532833351724883,microsoft-phi-1_5
mmlu_professional_medicine_orig_filtered,acc,0.23214285714285715,microsoft-phi-1_5
mmlu_professional_medicine_orig_filtered,acc_stderr,0.056929390240001085,microsoft-phi-1_5
b4b,acc,0.42273819055244194,microsoft-phi-2
b4b,acc_stderr,0.049884246051532244,microsoft-phi-2
b4b,acc_norm,0.42812758906379456,microsoft-phi-2
b4b,acc_norm_stderr,0.001608704224010293,microsoft-phi-2
b4bqa,acc,0.47488839285714285,microsoft-phi-2
b4bqa,acc_stderr,0.01179977682900124,microsoft-phi-2
b4bqa,acc_norm,0.47488839285714285,microsoft-phi-2
b4bqa,acc_norm_stderr,0.01179977682900124,microsoft-phi-2
medmcqa_b2g,acc,0.4246031746031746,microsoft-phi-2
medmcqa_b2g,acc_stderr,0.02203897319304456,microsoft-phi-2
medmcqa_b2g,acc_norm,0.4246031746031746,microsoft-phi-2
medmcqa_b2g,acc_norm_stderr,0.02203897319304456,microsoft-phi-2
medmcqa_g2b,acc,0.3531746031746032,microsoft-phi-2
medmcqa_g2b,acc_stderr,0.021311021744798757,microsoft-phi-2
medmcqa_g2b,acc_norm,0.3531746031746032,microsoft-phi-2
medmcqa_g2b,acc_norm_stderr,0.021311021744798757,microsoft-phi-2
medmcqa_orig_filtered,acc,0.4246031746031746,microsoft-phi-2
medmcqa_orig_filtered,acc_stderr,0.022038973193044563,microsoft-phi-2
medmcqa_orig_filtered,acc_norm,0.4246031746031746,microsoft-phi-2
medmcqa_orig_filtered,acc_norm_stderr,0.022038973193044563,microsoft-phi-2
medqa_4options_b2g,acc,0.41732283464566927,microsoft-phi-2
medqa_4options_b2g,acc_stderr,0.02190009980473925,microsoft-phi-2
medqa_4options_b2g,acc_norm,0.41732283464566927,microsoft-phi-2
medqa_4options_b2g,acc_norm_stderr,0.02190009980473925,microsoft-phi-2
medqa_4options_g2b,acc,0.36811023622047245,microsoft-phi-2
medqa_4options_g2b,acc_stderr,0.02141931745359468,microsoft-phi-2
medqa_4options_g2b,acc_norm,0.36811023622047245,microsoft-phi-2
medqa_4options_g2b,acc_norm_stderr,0.02141931745359468,microsoft-phi-2
medqa_4options_orig_filtered,acc,0.4153543307086614,microsoft-phi-2
medqa_4options_orig_filtered,acc_stderr,0.021885262514438345,microsoft-phi-2
medqa_4options_orig_filtered,acc_norm,0.4153543307086614,microsoft-phi-2
medqa_4options_orig_filtered,acc_norm_stderr,0.021885262514438345,microsoft-phi-2
mmlu_professional_medicine_b2g,acc,0.26785714285714285,microsoft-phi-2
mmlu_professional_medicine_b2g,acc_stderr,0.05971290310957637,microsoft-phi-2
mmlu_professional_medicine_g2b,acc,0.26785714285714285,microsoft-phi-2
mmlu_professional_medicine_g2b,acc_stderr,0.05971290310957637,microsoft-phi-2
mmlu_professional_medicine_orig_filtered,acc,0.26785714285714285,microsoft-phi-2
mmlu_professional_medicine_orig_filtered,acc_stderr,0.05971290310957636,microsoft-phi-2
b4b,acc,0.42273819055244194,microsoft-phi-2
b4b,acc_stderr,0.049884246051532244,microsoft-phi-2
b4b,acc_norm,0.42812758906379456,microsoft-phi-2
b4b,acc_norm_stderr,0.001608704224010293,microsoft-phi-2
b4bqa,acc,0.47488839285714285,microsoft-phi-2
b4bqa,acc_stderr,0.01179977682900124,microsoft-phi-2
b4bqa,acc_norm,0.47488839285714285,microsoft-phi-2
b4bqa,acc_norm_stderr,0.01179977682900124,microsoft-phi-2
medmcqa_b2g,acc,0.4246031746031746,microsoft-phi-2
medmcqa_b2g,acc_stderr,0.02203897319304456,microsoft-phi-2
medmcqa_b2g,acc_norm,0.4246031746031746,microsoft-phi-2
medmcqa_b2g,acc_norm_stderr,0.02203897319304456,microsoft-phi-2
medmcqa_g2b,acc,0.3531746031746032,microsoft-phi-2
medmcqa_g2b,acc_stderr,0.021311021744798757,microsoft-phi-2
medmcqa_g2b,acc_norm,0.3531746031746032,microsoft-phi-2
medmcqa_g2b,acc_norm_stderr,0.021311021744798757,microsoft-phi-2
medmcqa_orig_filtered,acc,0.4246031746031746,microsoft-phi-2
medmcqa_orig_filtered,acc_stderr,0.022038973193044563,microsoft-phi-2
medmcqa_orig_filtered,acc_norm,0.4246031746031746,microsoft-phi-2
medmcqa_orig_filtered,acc_norm_stderr,0.022038973193044563,microsoft-phi-2
medqa_4options_b2g,acc,0.41732283464566927,microsoft-phi-2
medqa_4options_b2g,acc_stderr,0.02190009980473925,microsoft-phi-2
medqa_4options_b2g,acc_norm,0.41732283464566927,microsoft-phi-2
medqa_4options_b2g,acc_norm_stderr,0.02190009980473925,microsoft-phi-2
medqa_4options_g2b,acc,0.36811023622047245,microsoft-phi-2
medqa_4options_g2b,acc_stderr,0.02141931745359468,microsoft-phi-2
medqa_4options_g2b,acc_norm,0.36811023622047245,microsoft-phi-2
medqa_4options_g2b,acc_norm_stderr,0.02141931745359468,microsoft-phi-2
medqa_4options_orig_filtered,acc,0.4153543307086614,microsoft-phi-2
medqa_4options_orig_filtered,acc_stderr,0.021885262514438345,microsoft-phi-2
medqa_4options_orig_filtered,acc_norm,0.4153543307086614,microsoft-phi-2
medqa_4options_orig_filtered,acc_norm_stderr,0.021885262514438345,microsoft-phi-2
mmlu_professional_medicine_b2g,acc,0.26785714285714285,microsoft-phi-2
mmlu_professional_medicine_b2g,acc_stderr,0.05971290310957637,microsoft-phi-2
mmlu_professional_medicine_g2b,acc,0.26785714285714285,microsoft-phi-2
mmlu_professional_medicine_g2b,acc_stderr,0.05971290310957637,microsoft-phi-2
mmlu_professional_medicine_orig_filtered,acc,0.26785714285714285,microsoft-phi-2
mmlu_professional_medicine_orig_filtered,acc_stderr,0.05971290310957636,microsoft-phi-2
b4b,acc,0.42273819055244194,microsoft-phi-2
b4b,acc_stderr,0.049884246051532244,microsoft-phi-2
b4b,acc_norm,0.42812758906379456,microsoft-phi-2
b4b,acc_norm_stderr,0.001608704224010293,microsoft-phi-2
b4bqa,acc,0.47488839285714285,microsoft-phi-2
b4bqa,acc_stderr,0.01179977682900124,microsoft-phi-2
b4bqa,acc_norm,0.47488839285714285,microsoft-phi-2
b4bqa,acc_norm_stderr,0.01179977682900124,microsoft-phi-2
medmcqa_b2g,acc,0.4246031746031746,microsoft-phi-2
medmcqa_b2g,acc_stderr,0.02203897319304456,microsoft-phi-2
medmcqa_b2g,acc_norm,0.4246031746031746,microsoft-phi-2
medmcqa_b2g,acc_norm_stderr,0.02203897319304456,microsoft-phi-2
medmcqa_g2b,acc,0.3531746031746032,microsoft-phi-2
medmcqa_g2b,acc_stderr,0.021311021744798757,microsoft-phi-2
medmcqa_g2b,acc_norm,0.3531746031746032,microsoft-phi-2
medmcqa_g2b,acc_norm_stderr,0.021311021744798757,microsoft-phi-2
medmcqa_orig_filtered,acc,0.4246031746031746,microsoft-phi-2
medmcqa_orig_filtered,acc_stderr,0.022038973193044563,microsoft-phi-2
medmcqa_orig_filtered,acc_norm,0.4246031746031746,microsoft-phi-2
medmcqa_orig_filtered,acc_norm_stderr,0.022038973193044563,microsoft-phi-2
medqa_4options_b2g,acc,0.41732283464566927,microsoft-phi-2
medqa_4options_b2g,acc_stderr,0.02190009980473925,microsoft-phi-2
medqa_4options_b2g,acc_norm,0.41732283464566927,microsoft-phi-2
medqa_4options_b2g,acc_norm_stderr,0.02190009980473925,microsoft-phi-2
medqa_4options_g2b,acc,0.36811023622047245,microsoft-phi-2
medqa_4options_g2b,acc_stderr,0.02141931745359468,microsoft-phi-2
medqa_4options_g2b,acc_norm,0.36811023622047245,microsoft-phi-2
medqa_4options_g2b,acc_norm_stderr,0.02141931745359468,microsoft-phi-2
medqa_4options_orig_filtered,acc,0.4153543307086614,microsoft-phi-2
medqa_4options_orig_filtered,acc_stderr,0.021885262514438345,microsoft-phi-2
medqa_4options_orig_filtered,acc_norm,0.4153543307086614,microsoft-phi-2
medqa_4options_orig_filtered,acc_norm_stderr,0.021885262514438345,microsoft-phi-2
mmlu_professional_medicine_b2g,acc,0.26785714285714285,microsoft-phi-2
mmlu_professional_medicine_b2g,acc_stderr,0.05971290310957637,microsoft-phi-2
mmlu_professional_medicine_g2b,acc,0.26785714285714285,microsoft-phi-2
mmlu_professional_medicine_g2b,acc_stderr,0.05971290310957637,microsoft-phi-2
mmlu_professional_medicine_orig_filtered,acc,0.26785714285714285,microsoft-phi-2
mmlu_professional_medicine_orig_filtered,acc_stderr,0.05971290310957636,microsoft-phi-2
b4b,acc,0.5824659727782225,mistralai-Mistral-7B-v0.3
b4b,acc_stderr,0.08515424221657852,mistralai-Mistral-7B-v0.3
b4b,acc_norm,0.581814415907208,mistralai-Mistral-7B-v0.3
b4b,acc_norm_stderr,0.007339897717417354,mistralai-Mistral-7B-v0.3
b4bqa,acc,0.703125,mistralai-Mistral-7B-v0.3
b4bqa,acc_stderr,0.010795811437682205,mistralai-Mistral-7B-v0.3
b4bqa,acc_norm,0.703125,mistralai-Mistral-7B-v0.3
b4bqa,acc_norm_stderr,0.010795811437682205,mistralai-Mistral-7B-v0.3
medmcqa_b2g,acc,0.5634920634920635,mistralai-Mistral-7B-v0.3
medmcqa_b2g,acc_stderr,0.022113423407025164,mistralai-Mistral-7B-v0.3
medmcqa_b2g,acc_norm,0.5634920634920635,mistralai-Mistral-7B-v0.3
medmcqa_b2g,acc_norm_stderr,0.022113423407025164,mistralai-Mistral-7B-v0.3
medmcqa_g2b,acc,0.45436507936507936,mistralai-Mistral-7B-v0.3
medmcqa_g2b,acc_stderr,0.022200847780753347,mistralai-Mistral-7B-v0.3
medmcqa_g2b,acc_norm,0.45436507936507936,mistralai-Mistral-7B-v0.3
medmcqa_g2b,acc_norm_stderr,0.022200847780753347,mistralai-Mistral-7B-v0.3
medmcqa_orig_filtered,acc,0.5654761904761905,mistralai-Mistral-7B-v0.3
medmcqa_orig_filtered,acc_stderr,0.022101917752795727,mistralai-Mistral-7B-v0.3
medmcqa_orig_filtered,acc_norm,0.5654761904761905,mistralai-Mistral-7B-v0.3
medmcqa_orig_filtered,acc_norm_stderr,0.022101917752795727,mistralai-Mistral-7B-v0.3
medqa_4options_b2g,acc,0.5118110236220472,mistralai-Mistral-7B-v0.3
medqa_4options_b2g,acc_stderr,0.022199583294816916,mistralai-Mistral-7B-v0.3
medqa_4options_b2g,acc_norm,0.5118110236220472,mistralai-Mistral-7B-v0.3
medqa_4options_b2g,acc_norm_stderr,0.022199583294816916,mistralai-Mistral-7B-v0.3
medqa_4options_g2b,acc,0.4566929133858268,mistralai-Mistral-7B-v0.3
medqa_4options_g2b,acc_stderr,0.022122328731374537,mistralai-Mistral-7B-v0.3
medqa_4options_g2b,acc_norm,0.4566929133858268,mistralai-Mistral-7B-v0.3
medqa_4options_g2b,acc_norm_stderr,0.022122328731374537,mistralai-Mistral-7B-v0.3
medqa_4options_orig_filtered,acc,0.5098425196850394,mistralai-Mistral-7B-v0.3
medqa_4options_orig_filtered,acc_stderr,0.02220147678894261,mistralai-Mistral-7B-v0.3
medqa_4options_orig_filtered,acc_norm,0.5098425196850394,mistralai-Mistral-7B-v0.3
