Dataset,Metric,Value,Model,Direction
medmcqa,acc_stderr,0.0229719374525437,microsoft-phi-1,generic_to_brand
medmcqa,acc_norm,0.2413793103448276,microsoft-phi-1,generic_to_brand
medmcqa,acc_norm_stderr,0.0229719374525437,microsoft-phi-1,generic_to_brand
medmcqa,acc,0.2586206896551724,microsoft-phi-1,none
medmcqa,acc_stderr,0.0235064543553796,microsoft-phi-1,none
medmcqa,acc_norm,0.2586206896551724,microsoft-phi-1,none
medmcqa,acc_norm_stderr,0.0235064543553796,microsoft-phi-1,none
medqa_4options,acc,0.2169312169312169,microsoft-phi-1,generic_to_brand
medqa_4options,acc_stderr,0.021227082449445,microsoft-phi-1,generic_to_brand
medqa_4options,acc_norm,0.2169312169312169,microsoft-phi-1,generic_to_brand
medqa_4options,acc_norm_stderr,0.021227082449445,microsoft-phi-1,generic_to_brand
medqa_4options,acc,0.2089947089947089,microsoft-phi-1,none
medqa_4options,acc_stderr,0.0209404815653348,microsoft-phi-1,none
medqa_4options,acc_norm,0.2089947089947089,microsoft-phi-1,none
medqa_4options,acc_norm_stderr,0.0209404815653348,microsoft-phi-1,none
b4b,acc,0.3024044389642417,microsoft-phi-1_5,none
b4b,acc_stderr,0.0303350298237928,microsoft-phi-1_5,none
b4b,acc_norm,0.3024044389642417,microsoft-phi-1_5,none
b4b,acc_norm_stderr,0.0303350298237928,microsoft-phi-1_5,none
b4bqa,acc,0.2801339285714285,microsoft-phi-1_5,none
b4bqa,acc_stderr,0.0106111124140511,microsoft-phi-1_5,none
b4bqa,acc_norm,0.2801339285714285,microsoft-phi-1_5,none
b4bqa,acc_norm_stderr,0.0106111124140511,microsoft-phi-1_5,none
medmcqa,acc,0.3160919540229885,microsoft-phi-1_5,generic_to_brand
medmcqa,acc_stderr,0.0249597849821312,microsoft-phi-1_5,generic_to_brand
medmcqa,acc_norm,0.3160919540229885,microsoft-phi-1_5,generic_to_brand
medmcqa,acc_norm_stderr,0.0249597849821312,microsoft-phi-1_5,generic_to_brand
medmcqa,acc,0.3045977011494253,microsoft-phi-1_5,none
medmcqa,acc_stderr,0.0247068076586161,microsoft-phi-1_5,none
medmcqa,acc_norm,0.3045977011494253,microsoft-phi-1_5,none
medmcqa,acc_norm_stderr,0.0247068076586161,microsoft-phi-1_5,none
medqa_4options,acc,0.3492063492063492,microsoft-phi-1_5,generic_to_brand
medqa_4options,acc_stderr,0.0245522922093426,microsoft-phi-1_5,generic_to_brand
medqa_4options,acc_norm,0.3492063492063492,microsoft-phi-1_5,generic_to_brand
medqa_4options,acc_norm_stderr,0.0245522922093426,microsoft-phi-1_5,generic_to_brand
medqa_4options,acc,0.3465608465608465,microsoft-phi-1_5,none
medqa_4options,acc_stderr,0.0245087775210284,microsoft-phi-1_5,none
medqa_4options,acc_norm,0.3465608465608465,microsoft-phi-1_5,none
medqa_4options,acc_norm_stderr,0.0245087775210284,microsoft-phi-1_5,none
b4b,acc,0.3024044389642417,microsoft-phi-1_5,none
b4b,acc_stderr,0.0303350298237928,microsoft-phi-1_5,none
b4b,acc_norm,0.3024044389642417,microsoft-phi-1_5,none
b4b,acc_norm_stderr,0.0303350298237928,microsoft-phi-1_5,none
b4bqa,acc,0.2801339285714285,microsoft-phi-1_5,none
b4bqa,acc_stderr,0.0106111124140511,microsoft-phi-1_5,none
b4bqa,acc_norm,0.2801339285714285,microsoft-phi-1_5,none
b4bqa,acc_norm_stderr,0.0106111124140511,microsoft-phi-1_5,none
medmcqa,acc,0.3160919540229885,microsoft-phi-1_5,generic_to_brand
medmcqa,acc_stderr,0.0249597849821312,microsoft-phi-1_5,generic_to_brand
medmcqa,acc_norm,0.3160919540229885,microsoft-phi-1_5,generic_to_brand
medmcqa,acc_norm_stderr,0.0249597849821312,microsoft-phi-1_5,generic_to_brand
medmcqa,acc,0.3045977011494253,microsoft-phi-1_5,none
medmcqa,acc_stderr,0.0247068076586161,microsoft-phi-1_5,none
medmcqa,acc_norm,0.3045977011494253,microsoft-phi-1_5,none
medmcqa,acc_norm_stderr,0.0247068076586161,microsoft-phi-1_5,none
medqa_4options,acc,0.3492063492063492,microsoft-phi-1_5,generic_to_brand
medqa_4options,acc_stderr,0.0245522922093426,microsoft-phi-1_5,generic_to_brand
medqa_4options,acc_norm,0.3492063492063492,microsoft-phi-1_5,generic_to_brand
medqa_4options,acc_norm_stderr,0.0245522922093426,microsoft-phi-1_5,generic_to_brand
medqa_4options,acc,0.3465608465608465,microsoft-phi-1_5,none
medqa_4options,acc_stderr,0.0245087775210284,microsoft-phi-1_5,none
medqa_4options,acc_norm,0.3465608465608465,microsoft-phi-1_5,none
medqa_4options,acc_norm_stderr,0.0245087775210284,microsoft-phi-1_5,none
b4b,acc,0.4479038224414303,microsoft-phi-2,none
b4b,acc_stderr,0.0343882858973779,microsoft-phi-2,none
b4b,acc_norm,0.4479038224414303,microsoft-phi-2,none
b4b,acc_norm_stderr,0.0343882858973779,microsoft-phi-2,none
b4bqa,acc,0.4748883928571428,microsoft-phi-2,none
b4bqa,acc_stderr,0.0117997768290012,microsoft-phi-2,none
b4bqa,acc_norm,0.4748883928571428,microsoft-phi-2,none
b4bqa,acc_norm_stderr,0.0117997768290012,microsoft-phi-2,none
medmcqa,acc,0.3764367816091954,microsoft-phi-2,generic_to_brand
medmcqa,acc_stderr,0.0260088729628564,microsoft-phi-2,generic_to_brand
medmcqa,acc_norm,0.3764367816091954,microsoft-phi-2,generic_to_brand
medmcqa,acc_norm_stderr,0.0260088729628564,microsoft-phi-2,generic_to_brand
medmcqa,acc,0.4224137931034483,microsoft-phi-2,none
medmcqa,acc_stderr,0.0265162872301328,microsoft-phi-2,none
medmcqa,acc_norm,0.4224137931034483,microsoft-phi-2,none
medmcqa,acc_norm_stderr,0.0265162872301328,microsoft-phi-2,none
medqa_4options,acc,0.4179894179894179,microsoft-phi-2,generic_to_brand
medqa_4options,acc_stderr,0.0254025555032609,microsoft-phi-2,generic_to_brand
medqa_4options,acc_norm,0.4179894179894179,microsoft-phi-2,generic_to_brand
medqa_4options,acc_norm_stderr,0.0254025555032609,microsoft-phi-2,generic_to_brand
medqa_4options,acc,0.4391534391534391,microsoft-phi-2,none
medqa_4options,acc_stderr,0.025559920550531,microsoft-phi-2,none
medqa_4options,acc_norm,0.4391534391534391,microsoft-phi-2,none
medqa_4options,acc_norm_stderr,0.025559920550531,microsoft-phi-2,none
b4b,acc,0.4479038224414303,microsoft-phi-2,none
b4b,acc_stderr,0.0343882858973779,microsoft-phi-2,none
b4b,acc_norm,0.4479038224414303,microsoft-phi-2,none
b4b,acc_norm_stderr,0.0343882858973779,microsoft-phi-2,none
b4bqa,acc,0.4748883928571428,microsoft-phi-2,none
b4bqa,acc_stderr,0.0117997768290012,microsoft-phi-2,none
b4bqa,acc_norm,0.4748883928571428,microsoft-phi-2,none
b4bqa,acc_norm_stderr,0.0117997768290012,microsoft-phi-2,none
medmcqa,acc,0.3764367816091954,microsoft-phi-2,generic_to_brand
medmcqa,acc_stderr,0.0260088729628564,microsoft-phi-2,generic_to_brand
medmcqa,acc_norm,0.3764367816091954,microsoft-phi-2,generic_to_brand
medmcqa,acc_norm_stderr,0.0260088729628564,microsoft-phi-2,generic_to_brand
medmcqa,acc,0.4224137931034483,microsoft-phi-2,none
medmcqa,acc_stderr,0.0265162872301328,microsoft-phi-2,none
medmcqa,acc_norm,0.4224137931034483,microsoft-phi-2,none
medmcqa,acc_norm_stderr,0.0265162872301328,microsoft-phi-2,none
medqa_4options,acc,0.4179894179894179,microsoft-phi-2,generic_to_brand
medqa_4options,acc_stderr,0.0254025555032609,microsoft-phi-2,generic_to_brand
medqa_4options,acc_norm,0.4179894179894179,microsoft-phi-2,generic_to_brand
medqa_4options,acc_norm_stderr,0.0254025555032609,microsoft-phi-2,generic_to_brand
medqa_4options,acc,0.4391534391534391,microsoft-phi-2,none
medqa_4options,acc_stderr,0.025559920550531,microsoft-phi-2,none
medqa_4options,acc_norm,0.4391534391534391,microsoft-phi-2,none
medqa_4options,acc_norm_stderr,0.025559920550531,microsoft-phi-2,none
b4b,acc,0.6593711467324291,microsoft-Phi-3-medium-4k-instruct,none
b4b,acc_stderr,0.0588240610414858,microsoft-Phi-3-medium-4k-instruct,none
b4b,acc_norm,0.6593711467324291,microsoft-Phi-3-medium-4k-instruct,none
b4b,acc_norm_stderr,0.0588240610414858,microsoft-Phi-3-medium-4k-instruct,none
b4bqa,acc,0.6997767857142857,microsoft-Phi-3-medium-4k-instruct,none
b4bqa,acc_stderr,0.0108306396828918,microsoft-Phi-3-medium-4k-instruct,none
b4bqa,acc_norm,0.6997767857142857,microsoft-Phi-3-medium-4k-instruct,none
b4bqa,acc_norm_stderr,0.0108306396828918,microsoft-Phi-3-medium-4k-instruct,none
medmcqa,acc,0.603448275862069,microsoft-Phi-3-medium-4k-instruct,generic_to_brand
medmcqa,acc_stderr,0.0262606341419337,microsoft-Phi-3-medium-4k-instruct,generic_to_brand
medmcqa,acc_norm,0.603448275862069,microsoft-Phi-3-medium-4k-instruct,generic_to_brand
medmcqa,acc_norm_stderr,0.0262606341419337,microsoft-Phi-3-medium-4k-instruct,generic_to_brand
medmcqa,acc,0.7241379310344828,microsoft-Phi-3-medium-4k-instruct,none
medmcqa,acc_stderr,0.0239934061469983,microsoft-Phi-3-medium-4k-instruct,none
medmcqa,acc_norm,0.7241379310344828,microsoft-Phi-3-medium-4k-instruct,none
medmcqa,acc_norm_stderr,0.0239934061469983,microsoft-Phi-3-medium-4k-instruct,none
medqa_4options,acc,0.5343915343915344,microsoft-Phi-3-medium-4k-instruct,generic_to_brand
medqa_4options,acc_stderr,0.0256903217624938,microsoft-Phi-3-medium-4k-instruct,generic_to_brand
medqa_4options,acc_norm,0.5343915343915344,microsoft-Phi-3-medium-4k-instruct,generic_to_brand
medqa_4options,acc_norm_stderr,0.0256903217624938,microsoft-Phi-3-medium-4k-instruct,generic_to_brand
medqa_4options,acc,0.5846560846560847,microsoft-Phi-3-medium-4k-instruct,none
medqa_4options,acc_stderr,0.0253795249107783,microsoft-Phi-3-medium-4k-instruct,none
medqa_4options,acc_norm,0.5846560846560847,microsoft-Phi-3-medium-4k-instruct,none
medqa_4options,acc_norm_stderr,0.0253795249107783,microsoft-Phi-3-medium-4k-instruct,none
b4b,acc,0.6593711467324291,microsoft-Phi-3-medium-4k-instruct,none
b4b,acc_stderr,0.0588240610414858,microsoft-Phi-3-medium-4k-instruct,none
b4b,acc_norm,0.6593711467324291,microsoft-Phi-3-medium-4k-instruct,none
b4b,acc_norm_stderr,0.0588240610414858,microsoft-Phi-3-medium-4k-instruct,none
b4bqa,acc,0.6997767857142857,microsoft-Phi-3-medium-4k-instruct,none
b4bqa,acc_stderr,0.0108306396828918,microsoft-Phi-3-medium-4k-instruct,none
b4bqa,acc_norm,0.6997767857142857,microsoft-Phi-3-medium-4k-instruct,none
b4bqa,acc_norm_stderr,0.0108306396828918,microsoft-Phi-3-medium-4k-instruct,none
medmcqa,acc,0.603448275862069,microsoft-Phi-3-medium-4k-instruct,generic_to_brand
medmcqa,acc_stderr,0.0262606341419337,microsoft-Phi-3-medium-4k-instruct,generic_to_brand
medmcqa,acc_norm,0.603448275862069,microsoft-Phi-3-medium-4k-instruct,generic_to_brand
medmcqa,acc_norm_stderr,0.0262606341419337,microsoft-Phi-3-medium-4k-instruct,generic_to_brand
medmcqa,acc,0.7241379310344828,microsoft-Phi-3-medium-4k-instruct,none
medmcqa,acc_stderr,0.0239934061469983,microsoft-Phi-3-medium-4k-instruct,none
medmcqa,acc_norm,0.7241379310344828,microsoft-Phi-3-medium-4k-instruct,none
medmcqa,acc_norm_stderr,0.0239934061469983,microsoft-Phi-3-medium-4k-instruct,none
medqa_4options,acc,0.5343915343915344,microsoft-Phi-3-medium-4k-instruct,generic_to_brand
medqa_4options,acc_stderr,0.0256903217624938,microsoft-Phi-3-medium-4k-instruct,generic_to_brand
medqa_4options,acc_norm,0.5343915343915344,microsoft-Phi-3-medium-4k-instruct,generic_to_brand
medqa_4options,acc_norm_stderr,0.0256903217624938,microsoft-Phi-3-medium-4k-instruct,generic_to_brand
medqa_4options,acc,0.5846560846560847,microsoft-Phi-3-medium-4k-instruct,none
medqa_4options,acc_stderr,0.0253795249107783,microsoft-Phi-3-medium-4k-instruct,none
medqa_4options,acc_norm,0.5846560846560847,microsoft-Phi-3-medium-4k-instruct,none
medqa_4options,acc_norm_stderr,0.0253795249107783,microsoft-Phi-3-medium-4k-instruct,none
b4b,acc,0.6199136868064118,mistralai-Mistral-7B-v0.3,none
b4b,acc_stderr,0.0837373393352743,mistralai-Mistral-7B-v0.3,none
b4b,acc_norm,0.6199136868064118,mistralai-Mistral-7B-v0.3,none
b4b,acc_norm_stderr,0.0837373393352743,mistralai-Mistral-7B-v0.3,none
b4bqa,acc,0.703125,mistralai-Mistral-7B-v0.3,none
b4bqa,acc_stderr,0.0107958114376822,mistralai-Mistral-7B-v0.3,none
b4bqa,acc_norm,0.703125,mistralai-Mistral-7B-v0.3,none
b4bqa,acc_norm_stderr,0.0107958114376822,mistralai-Mistral-7B-v0.3,none
medmcqa,acc,0.4827586206896552,mistralai-Mistral-7B-v0.3,generic_to_brand
medmcqa,acc_stderr,0.0268254435782248,mistralai-Mistral-7B-v0.3,generic_to_brand
medmcqa,acc_norm,0.4827586206896552,mistralai-Mistral-7B-v0.3,generic_to_brand
medmcqa,acc_norm_stderr,0.0268254435782248,mistralai-Mistral-7B-v0.3,generic_to_brand
medmcqa,acc,0.5689655172413793,mistralai-Mistral-7B-v0.3,none
medmcqa,acc_stderr,0.0265848517803536,mistralai-Mistral-7B-v0.3,none
medmcqa,acc_norm,0.5689655172413793,mistralai-Mistral-7B-v0.3,none
medmcqa,acc_norm_stderr,0.0265848517803536,mistralai-Mistral-7B-v0.3,none
medqa_4options,acc,0.4867724867724867,mistralai-Mistral-7B-v0.3,generic_to_brand
medqa_4options,acc_stderr,0.0257422972895751,mistralai-Mistral-7B-v0.3,generic_to_brand
medqa_4options,acc_norm,0.4867724867724867,mistralai-Mistral-7B-v0.3,generic_to_brand
medqa_4options,acc_norm_stderr,0.0257422972895751,mistralai-Mistral-7B-v0.3,generic_to_brand
medqa_4options,acc,0.5317460317460317,mistralai-Mistral-7B-v0.3,none
medqa_4options,acc_stderr,0.0256993528321318,mistralai-Mistral-7B-v0.3,none
medqa_4options,acc_norm,0.5317460317460317,mistralai-Mistral-7B-v0.3,none
medqa_4options,acc_norm_stderr,0.0256993528321318,mistralai-Mistral-7B-v0.3,none
b4b,acc,0.6199136868064118,mistralai-Mistral-7B-v0.3,none
b4b,acc_stderr,0.0837373393352743,mistralai-Mistral-7B-v0.3,none
b4b,acc_norm,0.6199136868064118,mistralai-Mistral-7B-v0.3,none
b4b,acc_norm_stderr,0.0837373393352743,mistralai-Mistral-7B-v0.3,none
b4bqa,acc,0.703125,mistralai-Mistral-7B-v0.3,none
b4bqa,acc_stderr,0.0107958114376822,mistralai-Mistral-7B-v0.3,none
b4bqa,acc_norm,0.703125,mistralai-Mistral-7B-v0.3,none
b4bqa,acc_norm_stderr,0.0107958114376822,mistralai-Mistral-7B-v0.3,none
medmcqa,acc,0.4827586206896552,mistralai-Mistral-7B-v0.3,generic_to_brand
medmcqa,acc_stderr,0.0268254435782248,mistralai-Mistral-7B-v0.3,generic_to_brand
medmcqa,acc_norm,0.4827586206896552,mistralai-Mistral-7B-v0.3,generic_to_brand
medmcqa,acc_norm_stderr,0.0268254435782248,mistralai-Mistral-7B-v0.3,generic_to_brand
medmcqa,acc,0.5689655172413793,mistralai-Mistral-7B-v0.3,none
medmcqa,acc_stderr,0.0265848517803536,mistralai-Mistral-7B-v0.3,none
medmcqa,acc_norm,0.5689655172413793,mistralai-Mistral-7B-v0.3,none
medmcqa,acc_norm_stderr,0.0265848517803536,mistralai-Mistral-7B-v0.3,none
medqa_4options,acc,0.4867724867724867,mistralai-Mistral-7B-v0.3,generic_to_brand
medqa_4options,acc_stderr,0.0257422972895751,mistralai-Mistral-7B-v0.3,generic_to_brand
medqa_4options,acc_norm,0.4867724867724867,mistralai-Mistral-7B-v0.3,generic_to_brand
medqa_4options,acc_norm_stderr,0.0257422972895751,mistralai-Mistral-7B-v0.3,generic_to_brand
medqa_4options,acc,0.5317460317460317,mistralai-Mistral-7B-v0.3,none
medqa_4options,acc_stderr,0.0256993528321318,mistralai-Mistral-7B-v0.3,none
medqa_4options,acc_norm,0.5317460317460317,mistralai-Mistral-7B-v0.3,none
medqa_4options,acc_norm_stderr,0.0256993528321318,mistralai-Mistral-7B-v0.3,none
b4b,acc,0.3600493218249075,meta-llama-Llama-2-7b-hf,none
b4b,acc_stderr,0.0218163043882725,meta-llama-Llama-2-7b-hf,none
b4b,acc_norm,0.3600493218249075,meta-llama-Llama-2-7b-hf,none
b4b,acc_norm_stderr,0.0218163043882725,meta-llama-Llama-2-7b-hf,none
b4bqa,acc,0.3683035714285714,meta-llama-Llama-2-7b-hf,none
b4bqa,acc_stderr,0.0113974942807729,meta-llama-Llama-2-7b-hf,none
b4bqa,acc_norm,0.3683035714285714,meta-llama-Llama-2-7b-hf,none
b4bqa,acc_norm_stderr,0.0113974942807729,meta-llama-Llama-2-7b-hf,none
medmcqa,acc,0.3390804597701149,meta-llama-Llama-2-7b-hf,generic_to_brand
medmcqa,acc_stderr,0.0254132928054732,meta-llama-Llama-2-7b-hf,generic_to_brand
medmcqa,acc_norm,0.3390804597701149,meta-llama-Llama-2-7b-hf,generic_to_brand
medmcqa,acc_norm_stderr,0.0254132928054732,meta-llama-Llama-2-7b-hf,generic_to_brand
medmcqa,acc,0.3419540229885057,meta-llama-Llama-2-7b-hf,none
medmcqa,acc_stderr,0.0254652087433315,meta-llama-Llama-2-7b-hf,none
medmcqa,acc_norm,0.3419540229885057,meta-llama-Llama-2-7b-hf,none
medmcqa,acc_norm_stderr,0.0254652087433315,meta-llama-Llama-2-7b-hf,none
medqa_4options,acc,0.3439153439153439,meta-llama-Llama-2-7b-hf,generic_to_brand
medqa_4options,acc_stderr,0.0244644266255964,meta-llama-Llama-2-7b-hf,generic_to_brand
medqa_4options,acc_norm,0.3439153439153439,meta-llama-Llama-2-7b-hf,generic_to_brand
medqa_4options,acc_norm_stderr,0.0244644266255964,meta-llama-Llama-2-7b-hf,generic_to_brand
medqa_4options,acc,0.373015873015873,meta-llama-Llama-2-7b-hf,none
medqa_4options,acc_stderr,0.0249069904589925,meta-llama-Llama-2-7b-hf,none
medqa_4options,acc_norm,0.373015873015873,meta-llama-Llama-2-7b-hf,none
medqa_4options,acc_norm_stderr,0.0249069904589925,meta-llama-Llama-2-7b-hf,none
b4b,acc,0.3600493218249075,meta-llama-Llama-2-7b-hf,none
b4b,acc_stderr,0.0218163043882725,meta-llama-Llama-2-7b-hf,none
b4b,acc_norm,0.3600493218249075,meta-llama-Llama-2-7b-hf,none
b4b,acc_norm_stderr,0.0218163043882725,meta-llama-Llama-2-7b-hf,none
b4bqa,acc,0.3683035714285714,meta-llama-Llama-2-7b-hf,none
b4bqa,acc_stderr,0.0113974942807729,meta-llama-Llama-2-7b-hf,none
b4bqa,acc_norm,0.3683035714285714,meta-llama-Llama-2-7b-hf,none
b4bqa,acc_norm_stderr,0.0113974942807729,meta-llama-Llama-2-7b-hf,none
medmcqa,acc,0.3390804597701149,meta-llama-Llama-2-7b-hf,generic_to_brand
medmcqa,acc_stderr,0.0254132928054732,meta-llama-Llama-2-7b-hf,generic_to_brand
medmcqa,acc_norm,0.3390804597701149,meta-llama-Llama-2-7b-hf,generic_to_brand
medmcqa,acc_norm_stderr,0.0254132928054732,meta-llama-Llama-2-7b-hf,generic_to_brand
medmcqa,acc,0.3419540229885057,meta-llama-Llama-2-7b-hf,none
medmcqa,acc_stderr,0.0254652087433315,meta-llama-Llama-2-7b-hf,none
medmcqa,acc_norm,0.3419540229885057,meta-llama-Llama-2-7b-hf,none
medmcqa,acc_norm_stderr,0.0254652087433315,meta-llama-Llama-2-7b-hf,none
medqa_4options,acc,0.3439153439153439,meta-llama-Llama-2-7b-hf,generic_to_brand
medqa_4options,acc_stderr,0.0244644266255964,meta-llama-Llama-2-7b-hf,generic_to_brand
medqa_4options,acc_norm,0.3439153439153439,meta-llama-Llama-2-7b-hf,generic_to_brand
medqa_4options,acc_norm_stderr,0.0244644266255964,meta-llama-Llama-2-7b-hf,generic_to_brand
medqa_4options,acc,0.373015873015873,meta-llama-Llama-2-7b-hf,none
medqa_4options,acc_stderr,0.0249069904589925,meta-llama-Llama-2-7b-hf,none
medqa_4options,acc_norm,0.373015873015873,meta-llama-Llama-2-7b-hf,none
medqa_4options,acc_norm_stderr,0.0249069904589925,meta-llama-Llama-2-7b-hf,none
b4b,acc,0.7120838471023427,meta-llama-Meta-Llama-3-8B,none
b4b,acc_stderr,0.1120223386079501,meta-llama-Meta-Llama-3-8B,none
b4b,acc_norm,0.7120838471023427,meta-llama-Meta-Llama-3-8B,none
b4b,acc_norm_stderr,0.1120223386079501,meta-llama-Meta-Llama-3-8B,none
b4bqa,acc,0.8270089285714286,meta-llama-Meta-Llama-3-8B,none
b4bqa,acc_stderr,0.0089375637073024,meta-llama-Meta-Llama-3-8B,none
b4bqa,acc_norm,0.8270089285714286,meta-llama-Meta-Llama-3-8B,none
b4bqa,acc_norm_stderr,0.0089375637073024,meta-llama-Meta-Llama-3-8B,none
medmcqa,acc,0.5287356321839081,meta-llama-Meta-Llama-3-8B,generic_to_brand
medmcqa,acc_stderr,0.0267970418301041,meta-llama-Meta-Llama-3-8B,generic_to_brand
medmcqa,acc_norm,0.5287356321839081,meta-llama-Meta-Llama-3-8B,generic_to_brand
medmcqa,acc_norm_stderr,0.0267970418301041,meta-llama-Meta-Llama-3-8B,generic_to_brand
medmcqa,acc,0.5919540229885057,meta-llama-Meta-Llama-3-8B,none
medmcqa,acc_stderr,0.0263835846297315,meta-llama-Meta-Llama-3-8B,none
medmcqa,acc_norm,0.5919540229885057,meta-llama-Meta-Llama-3-8B,none
medmcqa,acc_norm_stderr,0.0263835846297315,meta-llama-Meta-Llama-3-8B,none
medqa_4options,acc,0.5502645502645502,meta-llama-Meta-Llama-3-8B,generic_to_brand
medqa_4options,acc_stderr,0.0256208570429366,meta-llama-Meta-Llama-3-8B,generic_to_brand
medqa_4options,acc_norm,0.5502645502645502,meta-llama-Meta-Llama-3-8B,generic_to_brand
medqa_4options,acc_norm_stderr,0.0256208570429366,meta-llama-Meta-Llama-3-8B,generic_to_brand
medqa_4options,acc,0.6084656084656085,meta-llama-Meta-Llama-3-8B,none
medqa_4options,acc_stderr,0.0251380913888511,meta-llama-Meta-Llama-3-8B,none
medqa_4options,acc_norm,0.6084656084656085,meta-llama-Meta-Llama-3-8B,none
medqa_4options,acc_norm_stderr,0.0251380913888511,meta-llama-Meta-Llama-3-8B,none
b4b,acc,0.7120838471023427,meta-llama-Meta-Llama-3-8B,none
b4b,acc_stderr,0.1120223386079501,meta-llama-Meta-Llama-3-8B,none
b4b,acc_norm,0.7120838471023427,meta-llama-Meta-Llama-3-8B,none
b4b,acc_norm_stderr,0.1120223386079501,meta-llama-Meta-Llama-3-8B,none
b4bqa,acc,0.8270089285714286,meta-llama-Meta-Llama-3-8B,none
b4bqa,acc_stderr,0.0089375637073024,meta-llama-Meta-Llama-3-8B,none
b4bqa,acc_norm,0.8270089285714286,meta-llama-Meta-Llama-3-8B,none
b4bqa,acc_norm_stderr,0.0089375637073024,meta-llama-Meta-Llama-3-8B,none
medmcqa,acc,0.5287356321839081,meta-llama-Meta-Llama-3-8B,generic_to_brand
medmcqa,acc_stderr,0.0267970418301041,meta-llama-Meta-Llama-3-8B,generic_to_brand
medmcqa,acc_norm,0.5287356321839081,meta-llama-Meta-Llama-3-8B,generic_to_brand
medmcqa,acc_norm_stderr,0.0267970418301041,meta-llama-Meta-Llama-3-8B,generic_to_brand
medmcqa,acc,0.5919540229885057,meta-llama-Meta-Llama-3-8B,none
medmcqa,acc_stderr,0.0263835846297315,meta-llama-Meta-Llama-3-8B,none
medmcqa,acc_norm,0.5919540229885057,meta-llama-Meta-Llama-3-8B,none
medmcqa,acc_norm_stderr,0.0263835846297315,meta-llama-Meta-Llama-3-8B,none
medqa_4options,acc,0.5502645502645502,meta-llama-Meta-Llama-3-8B,generic_to_brand
medqa_4options,acc_stderr,0.0256208570429366,meta-llama-Meta-Llama-3-8B,generic_to_brand
medqa_4options,acc_norm,0.5502645502645502,meta-llama-Meta-Llama-3-8B,generic_to_brand
medqa_4options,acc_norm_stderr,0.0256208570429366,meta-llama-Meta-Llama-3-8B,generic_to_brand
medqa_4options,acc,0.6084656084656085,meta-llama-Meta-Llama-3-8B,none
medqa_4options,acc_stderr,0.0251380913888511,meta-llama-Meta-Llama-3-8B,none
medqa_4options,acc_norm,0.6084656084656085,meta-llama-Meta-Llama-3-8B,none
medqa_4options,acc_norm_stderr,0.0251380913888511,meta-llama-Meta-Llama-3-8B,none
b4b,acc,0.7475339087546239,mistralai-Mixtral-8x7B-v0.1,none
b4b,acc_stderr,0.1108782404850995,mistralai-Mixtral-8x7B-v0.1,none
b4b,acc_norm,0.7475339087546239,mistralai-Mixtral-8x7B-v0.1,none
b4b,acc_norm_stderr,0.1108782404850995,mistralai-Mixtral-8x7B-v0.1,none
b4bqa,acc,0.8610491071428571,mistralai-Mixtral-8x7B-v0.1,none
